"location","lon","lat","date","region","travel","roles"
"Monterrey, Mexico",NA,NA,"08/01/2016 14:09:00","LATAM (Latin America)","To anywhere in my country","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday, Helping improve the website, Helping with central organisation"
"Milan, Italy",NA,NA,"08/01/2016 14:11:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Ann Arbor, USA",NA,NA,"08/01/2016 14:14:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Organising a satRday"
"Moscow, Russia",NA,NA,"08/01/2016 14:16:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Presenting at a satRday, Helping with central organisation"
"New York, USA",NA,NA,"08/01/2016 14:17:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday, Helping with central organisation"
"Hannover, Germany",NA,NA,"08/01/2016 14:24:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday"
"Baltimore, Maryland, USA",NA,NA,"08/01/2016 14:28:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Gent, Belgium",NA,NA,"08/01/2016 14:29:00","EMEA (EU, Middle East & Africa)","To anywhere in my country","Attending a satRday"
"New York, USA",NA,NA,"08/01/2016 14:36:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping with central organisation"
"Montreal, Canada",NA,NA,"08/01/2016 14:36:00","NA (North America)","To my nearest city","Attending a satRday"
"São Paulo, Brazil",NA,NA,"08/01/2016 14:43:00","LATAM (Latin America)","To my nearest city","Attending a satRday"
"Bend Oregon, USA",NA,NA,"08/01/2016 14:44:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Helping improve the website, Helping with central organisation"
"Honolulu, USA",NA,NA,"08/01/2016 14:45:00","NA (North America)","To my nearest city","Attending a satRday"
"Washington DC",NA,NA,"08/01/2016 14:53:00","NA (North America)",NA,"Attending a satRday, Helping out a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday, Helping improve the website, Helping with central organisation"
"London",-0.1277583,51.5073509,"08/01/2016 14:56:00","EMEA (EU, Middle East & Africa)","To anywhere in my continent","Attending a satRday, Helping out a satRday"
"Ann Arbor, MI",NA,NA,"08/01/2016 14:57:00","NA (North America)","To my nearest city","Attending a satRday, Helping publicise the events, Presenting at a satRday"
"Cary, NC USA",NA,NA,"08/01/2016 14:57:00","NA (North America)","To my nearest city","Attending a satRday"
"Indianapolis, IN, USA",NA,NA,"08/01/2016 15:05:00","NA (North America)","To my nearest city","Attending a satRday"
"Ashburton, United Kingdom",NA,NA,"08/01/2016 15:12:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday"
"Los Angeles, USA",NA,NA,"08/01/2016 15:14:00","NA (North America)","To my nearest city","Attending a satRday, Helping publicise the events, Organising a satRday"
"Durham, NC",NA,NA,"08/01/2016 15:20:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"London, UK",-0.1277583,51.5073509,"08/01/2016 15:25:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
"Pondicherry,India",NA,NA,"08/01/2016 15:25:00","APAC (Asia - Pacific)","To my nearest city","Attending a satRday, Helping out a satRday, Helping publicise the events"
"Cookeville, Tennessee",NA,NA,"08/01/2016 15:32:00","NA (North America)","To anywhere in my country","Attending a satRday, Helping publicise the events, Presenting at a satRday, Organising a satRday, Helping improve the website, Helping with central organisation"
"Denver, USA",NA,NA,"08/01/2016 15:33:00","NA (North America)","To my nearest city","Attending a satRday"
"Milwaukee, United States",NA,NA,"08/01/2016 15:54:00","NA (North America)","To anywhere in my country","Attending a satRday, Presenting at a satRday"
"Niskayuna, NY",NA,NA,"08/01/2016 15:57:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"Pittsburgh, USA",-79.9958864,40.4406248,"08/01/2016 15:59:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday"
"Rome, Italy",NA,NA,"08/01/2016 16:03:00","EMEA (EU, Middle East & Africa)","To my nearest city","Attending a satRday, Helping out a satRday"
"Bend, United States of America",NA,NA,"08/01/2016 16:08:00","NA (North America)","To my nearest city","Attending a satRday, Presenting at a satRday"
"Salt Lake City, United States",NA,NA,"08/01/2016 16:14:00","NA (North America)","To my nearest city","Attending a satRday, Helping out a satRday, Presenting at a satRday"
